"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"51.D615","Vintage Rucksack","Gewaschener Canvas","Tragegriff, verstellbarer Schultergurt mit Polsterung, gepolstertes Laptopfach passend für Laptops bis max. 14"", Rücken und Boden gepolstert, Verschluss mit Kordel, Schnallen in Kunstleder, TearAway Label, Fassungsvermögen: 19l, Maße: 26x45x16,5cm"
"51.D875","Messenger Tasche","805g, PU Lederoptik NuHide™","Tragegriff gepolstert, verstellbarer Schultergurt, Fronttasche mit Reißverschluss, Medienfach mit Reißverschluss, Futter in Nadelstreif-Design, Magnetverschluss, Metallschließen im Vintage-Look, Metallbeschläge, TearAway Label, Fassungsvermögen: 11l, Maße: 37x30x12cm"
"51.D886","Beuteltasche","284g, PU Lederoptik NuHide™","Verstellbarer Schultergurt, Innentasche mit Reißverschluss, Futter in Nadelstreif-Design, Zugband aus gleichem Material, Magnetverschluss, Metallschließen im Vintage-Look, TearAway Label, Fassungsvermögen: 4l, Maße: 22x27x14cm"
"51.D925","Rucksack ""Project Charge Security""","Kombination aus Jacquard Nylon/PVC beschichtetem Polyester","Schultergurte verstellbar und gepolstert, mehrere Innentaschen, Powerbank Tasche, Tasche mit Reißverschluss am Rückenteil, iPad/Tablet Fach innen gepolstert, Laptop-Fach gepolstert (passend bis 15,6""), Rücken ergonomisch gepolstert, Rollentaschengurt, Schlüsselhaken, elastischer Kabelordner, integrierter USB Ladeanschluss, TearAway Label, Fassungsvermögen: 15l, Maße: 30,5x46x17cm"
"51.S070","Teamwear Reisetasche","900g, Kombination aus 600D/420D Polyester","Tragegriff gepolstert, abnehmbarer, verstellbarer Schultergurt mit Polsterung, Bodenstollen, 2 große Seitentaschen, großes Hauptfach mit Einlegeboden, Fassungsvermögen: 55l, Maße: 62x30x30cm"
"51.S077","Teamwear Sport Tasche","760g, Kombination aus 600D/420D Polyester","Tragegriff gepolstert, abnehmbarer, verstellbarer Schultergurt mit Polsterung, Bodenstopper, Einlegeboden innen, Seitentaschen (eine mit Netzeinsatz), kompakte Größe passend für die meisten Schließfächer, Fassungsvermögen: 30l, Maße: 47x30x27cm"
"51.X310","Rucksack mit Trinkblase ""SLX Lite""","Kombination aus 210D Polyester Box Check Dobby/300D Polyester","Wasserabweisendes Material, verstellbare Brust- und Hüftriemen, verstellbarer Schultergurt mit Polsterung, elastische Seitentaschen aus Netz, Einschubtasche und Reißverschlussfach innen, belüftete Rückenpartie mit niedrigem Profil, Schlüsselhalterung, ultraleicht, 1,5l Trinkblase inkludiert, TearAway Label, Fassungsvermögen: 10l, Maße: 27x48x16cm"
"51.X520","Rucksack","930g, 600D/600D Ripstop Polyester Kombination in Wabenoptik","Tragegriff, verstellbare Brust- und Hüftgurte, verstellbare und gepolsterte Schultergurte, Fronttasche mit Reißverschluss, Seitentaschen aus elastischem Netz, Fach für Trinkblase, Meshfach innen, ergonomischer atmungsaktiver gepolsterter Rücken aus Mesh, für Laptops bis max. 15,6"", Halterung für Schlüssel, Schlaufe für Rücklicht, abnehmbarer wasserdichter Regenschutz, Halterung für Trekking-Stöcke, wechselbare Reißverschlussanhänger in verschiedenen Farben, reflektierende Details (ohne Schutzfunktion), Fassungsvermögen: 20l, Maße: 31x48x20cm"
"51.X550","Tasche","620g, 600D/600D Ripstop Polyester Kombination in Wabenoptik","Wasserabweisendes Design, Tragegriff gepolstert, Boden gepolstert, Fronttasche mit Netzfächern innen, gepolstertes Hauptfach, isoliertes Nass-Fach mit Reißverschluss, ideal als Handgepäck für Flugreisen, kann als Rucksack oder per Hand getragen werden, leicht und strapazierfähig, reflektierende Details (ohne Schutzfunktion), TearAway Label, Fassungsvermögen: 30l, Maße: 54x27x34cm"
"52.0005","Budget Turnbeutel","80g/m², 210D Polyester","Wasserabweisendes Material, Fassungsvermögen: 11l, Maße: 33x45cm"
"52.0007","Turnbeutel transparent","100g, TPU","Wasserabweisend, Kordelkanal verstärkt, polyesterverstärkt für höherer Belastbarkeit, Soft-Touch, TearAway Label, Fassungsvermögen: 11l, Maße: 33x45cm"
"52.0010","Premium Turnbeutel","100g/m², 210D Polyester, silber: 210D Nylon","Wasserabweisendes Material, verstärkte Ecken mit Metallösen, Fassungsvermögen: 11l, Maße: 33x45cm"
"52.0021","Messenger Tasche","450g, 600D Polyester","Verstellbarer und gepolsterter Schultergurt, Hauptfach mit Reißverschluss, Organizer-Elemente innen, 2 robuste Klippverschlüsse, Schlüsselaufhänger, Fassungsvermögen: 11l, Maße: 38x30x12cm"
"52.0023","Reisetasche mit Rollen","600D Polyester","Einziehbarer Zwei-Rohr-Griff mit Verriegelungssystem, Tragegriff gepolstert, verstell- und abnehmbarer Schultergurt, robuste Rollen, Reißverschlusstasche seitlich, Hauptfach mit abschließbarem Reißverschluss, Fassungsvermögen: 96l, Maße: 75x38x35cm"
"52.0030","Tasche ""Cross Body""","130g, 600D Polyester","Verstellbarer gewebter Schultergurt, Frontfach mit Reißverschluss, Hauptfach mit Reißverschluss, passend für iPad mini/Tablets, TearAway Label, Fassungsvermögen: 1,5l, Maße: 16x23x7cm"
"52.0040","Geldbörse","600D Polyester","Geldtasche mit Rip-Strip™ Verschluss, Kartenfach, Maße: 13x24cm (geöffnet), 13x9cm (geschlossen), Münzfach mit Reißverschluss, Klarsichtfenster"
"52.0042","Gürteltasche","115g, 600D Polyester","Fach mit Reißverschluss hinten, großes Hauptfach mit Reißverschluss, verstellbarer gewebter Gürtel, Fassungsvermögen: 2,5l, Maße: 38x14x8cm"
"52.0110","Turnbeutel Icon","150g/m², 300D Polyester","Wasserabweisend, verstecktes Geheimfach, starke Kordeln, TearAway Label, Fassungsvermögen: 15l, Maße: 40x48cm"
"52.0118","Roll-Top Rucksack mit Doppelgriff","440g, 300D Polyester","Tragegriffe aus Gurtband, verstellbarer Schultergurt mit Polsterung, Fronttasche mit Zubehörfach ideal zum Veredeln, Rücken gepolstert, Rückwand gepolstert, Roll-Top Verschluss, TearAway Label, Fassungsvermögen: 14l, Maße: 28x38x12cm"
"52.0125","Original Fashion Rucksack","380g, 600D Polyester","Tragegriff, verstellbarer Schultergurt mit Polsterung, Frontfach mit Reißverschluss, Rücken gepolstert, TearAway Label, Fassungsvermögen: 18l, Maße: 31x42x21cm"
"52.0140","Runde Sporttasche","480g, 600D Polyester","Tragegriffe aus Gurtband, verstell- und abnehmbarer Schultergurt, Hauptfach mit Reißverschluss, TearAway Label, Fassungsvermögen: 20l, Maße: 50x25x25cm"
"52.0150","Tasche ""Packaway""","150g, 210D Polyester, silber: 210D Nylon","Wasserabweisendes Material, gewebte Tragegriffe, Fach zum Verstauen/Innentasche kombiniert, sehr leicht, aber strapazierfähig, TearAway Label, Fassungsvermögen: 32l, Maße: 50x30x26cm"
"52.0151","Verstaubarer Rucksack","160g, 210D Polyester","Wasserdichtes Material, verstellbare Schultergurte, Fronttasche mit Reißverschluss, Hauptfach mit Reißverschluss, strapazierfähiges Material, sehr leicht, in der Innentasche verstaubar, TearAway Label, Fassungsvermögen: 20l, Maße: 31x45x16cm"
"52.0153","Mini Rucksack","260g, 600D Polyester","Tragegriff, verstellbare Schultergurte, Frontfach mit Reißverschluss, Rücken gepolstert, TearAway Label, Fassungsvermögen: 7l, Maße: 23x35x12cm"
"52.0198","Rucksack ""Duo Knit""","410g, 100% Duo Polyesterstrick","Tragegriff, verstellbarer Schultergurt mit Polsterung, Hauptfach mit Reißverschluss, Einschubfach, Rücken gepolstert, für Laptops bis max. 15,6"", TearAway Label, Fassungsvermögen: 20l, Maße: 31x50x16cm"
"52.0283","Umhängetasche","100% recyceltes Polyester, PVC frei, rPET","Kleines Fach für Wertsachen, Fach für Reisepass, verstellbare Umhängekordel, Klettverschluss, TearAway Label, Maße: 18x14x1cm"
"52.0287","Kühlrucksack","100% recyceltes Polyester, PVC frei, rPET, Futter: PEVA - BPA frei","Gewebte Tragegriffe, verstellbare und gepolsterte Schultergurte, vollisoliertes Hauptfach, Frontfach mit Reißverschluss, Organizer-Elemente, reflektierende Details (ohne Schutzfunktion), TearAway Label, Fassungsvermögen: 16l, Maße: 40x30x14cm"
"52.0288","Mini Kühltasche","100% recyceltes 600D Polyester, PEVA - BPA frei, PVC frei","Gewebte Tragegriffe, Einschubtasche innen, vollisoliertes Hauptfach, Front- und Hauptfach mit Reißverschluss, Hauptfach lebensmittelecht, leicht abwischbare Innenseite, reflektierende Details (ohne Schutzfunktion) am Reißverschluss Anhänger, Frontfach zur Veredelung geeignet, TearAway Label, Fassungsvermögen: 4l, Maße: 24x17x17cm"
"52.0290","Große Kühltasche","100% recyceltes 600D Polyester, PEVA - BPA frei, PVC frei","Gewebte Tragegriffe, verstellbarer Schultergurt, vollisoliertes Hauptfach, Front- und Hauptfach mit Reißverschluss, Hauptfach lebensmittelecht, Seitentasche aus elastischem Stretchmaterial, Halterung für Kühl Akkus innen, leicht abwischbare Innenseite, reflektierende Details (ohne Schutzfunktion) am Reißverschluss Anhänger, Frontfach zur Veredelung geeignet, Flaschenhalter innen, TearAway Label, Fassungsvermögen: 25l, Maße: 40x26x28cm"
"52.0330","Matte PU Accessoires Tasche","100% recyceltes Polyester, PU Beschichtung mit mattem Look, PVC frei","Wasserabweisendes Material, Hauptfach mit Reißverschluss, TearAway Label, Fassungsvermögen: 2l, Maße: 20x10x12cm"
"52.0332","Matte PU Kosmetik/Accessoires Tasche","100% recyceltes Polyester, PU Beschichtung mit mattem Look, PVC frei","Wasserabweisendes Material, Tragegriff, Hauptfach mit Reißverschluss, TearAway Label, Fassungsvermögen: 4l, Maße: 25x12x15cm"
"52.0335","Matter PU Roll-Top Rucksack","100% recyceltes Polyester, PU Beschichtung mit mattem Look, PVC frei","Wasserabweisendes Material, doppellagiger Boden, Tragegriff, verstellbare und gepolsterte Schultergurte, Fronttasche mit Reißverschluss, gepolstertes Laptopfach passend für Laptops bis max. 15,6"", Rolltop-Verschluss, verstellbarer Clipverschluss, Flaschenhalter innen, TearAway Label, Fassungsvermögen: 15l, Maße: 28x43x13cm"
"52.0337","Matte PU Accessoires Tasche","100% recyceltes Polyester, PU Beschichtung mit mattem Look, PVC frei","Wasserabweisendes Material, Tragegriff, passend für Schuhe, Hauptfach mit Reißverschluss, TearAway Label, Fassungsvermögen: 8l, Maße: 35x13x18cm"
"52.0338","Matte PU Sport-/Reisetasche","100% recyceltes Polyester, PU Beschichtung mit mattem Look, PVC frei","Wasserabweisendes Material, doppellagiger Boden, gewebte Tragegriffe, Tragegriff aus identischem Material, Innentasche mit Reißverschluss, großes Hauptfach mit Reißverschluss, kann über der Schulter oder in der Hand getragen werden, TearAway Label, Fassungsvermögen: 28l, Maße: 53x24x27cm"
"52.0544","Sport/Reisetasche","830g, 600D/420D Polyester Kombination","Wasserabweisend, Tragegriff gepolstert, abnehmbarer, verstellbarer Schultergurt mit Polsterung, Plastikstollen am Boden, Netztasche außen, Innentasche, Seitentaschen mit Reißverschluss, Schuh-/Nassfach, Belüftungsösen aus Metall, TearAway Label, Fassungsvermögen: 30l, Maße: 54x29x26cm"
"52.0545","Sportrucksack","635g, 600D/420D Polyester Kombination","Wasserabweisend, Tragegriff gepolstert, verstellbare, gepolsterte und verstärkte Träger, Fronttasche mit Organizer-Elementen, interne Einschubtasche, Flaschentasche, ergonomischer atmungsaktiver gepolsterter Rücken aus Mesh, Belüftungsösen aus Metall, Kopfhörerhalterung, TearAway Label, Fassungsvermögen: 23l, Maße: 30x50x18cm"
"52.0613","Vintage Laptop Rucksack","700g, 600D Polyester","Tragegriff, verstellbarer Schultergurt mit Polsterung, gepolstertes Laptopfach passend für Laptops bis max. 17"", Rücken gepolstert, verschließbar mittels Zugkordel, EasyPocket™ für einfache Veredelung, Magnetverschluss, TearAway Label, Fassungsvermögen: 18l, Maße: 30x46x17cm"
"52.0620","Rucksack ""Explorer""","560g, 600D HD Polyester","Schultergurte verstellbar und gepolstert, Tragegriff, seitliche Beuteltaschen, Innenfach, Rücken gepolstert, PU Akzente, verschließbar mittels Zugkordel, TearAway Label, Fassungsvermögen: 27l, Maße: 32x49x17cm"
"52.0628","Vintage Tasche","600g, 600D Polyester","Verstellbare Tragegriffe, Einlegeboden, Druckknöpfe an den Enden, um diese an den Seiten befestigen zu können, extra langer Reißverschluss am Hauptfach, Reißverschlusstasche vorne, PU und Metallakzente, kann über der Schulter oder in der Hand getragen werden, TearAway Label, Fassungsvermögen: 26l, Maße: 47x30x23cm"
"52.0641","Denim Rucksack","318g, Baumwoll/Polyester-Denim Mischung","Haltegriff, Schultergurte verstellbar und gepolstert, Fronttasche mit Reißverschluss, interne Einschubtasche, Rückwand gepolstert, TearAway Label, Fassungsvermögen: 14,5l, Maße: 43x28x15cm"
"52.0673","Canvas Tasche","407g/m², 100% Baumwoll-Canvas","Tragegrifflänge: 37cm, verstellbarer Schultergurt, Druckknopfverschluss, Fach für Wertgegenstände innen, fester Segeltuch-Stoff, Fassungsvermögen: 15l, Maße: 38x40x14cm"
"52.0721","Filz Shopper","100% Polyester Filz","Abnehmbare Rip-Strip™ Innentasche, kann über der Schulter oder in der Hand getragen werden, Rip-Strip™ Klettverschluss, TearAway Label, Fassungsvermögen: 22l, Maße: 49x39x13,5cm"
"52.0723","Filz Tasche","238g, 100% Polyester Filz","Tragegrifflänge: 60cm, TearAway Label, Fassungsvermögen: 15l, Maße: 37x41x11,5cm"
"52.0724","Filz Accessoires Tasche","100% Polyester Filz","Gleichfarbiger Reißverschluss Anhänger, TearAway Label, in 2 Größen erhältlich, Maße/Fassungsvermögen: S 16x12,5x6cm - 1l, M 19x18x9cm - 3l"
"52.0726","Filz Laptop Tasche","125g, 100% Polyester Filz","Geeignet für A4 Unterlagen, passend für Laptops bis max. 15,6"", Rip-Strip™ Klettverschluss, stabiles Filz-Material, TearAway Label, Maße: 41,5x28cm"
"52.0728","Filz Aufbewahrungskorb","100% Polyester Filz","TearAway Label, in 2 Größen erhältlich, Maße/Fassungsvermögen: S 30x30cm - 21l, M 40x40cm - 50l"
"52.0730","Filz Messenger Tasche","236g, 100% Polyester Filz","Tragegrifflänge: 140cm, Einschubtasche innen, geeignet für A4 Unterlagen, Rip-Strip™ Klettverschluss, stabiles Filz-Material, TearAway Label, Fassungsvermögen: 8l, Maße: 38x30x7cm"
"52.0745","Schlüsselclip ""Boutique""","17g, 100% PU Lederoptik","Kann als Schlüssel- oder Taschenanhänger verwendet werden, Schlüsselclip aus hochglänzendem Metall, Durchmesser: 7cm"
"52.0746","Schlüsselclip Herz ""Boutique""","17g, 100% PU Lederoptik","Kann als Schlüssel- oder Taschenanhänger verwendet werden, Schlüsselclip aus hochglänzendem Metall, Maße: 7x6cm"
"52.0747","Schlüsselclip ""Boutique""","100% PU Lederoptik","Kann über dem Handgelenk getragen werden, Schlüsselclip aus hochglänzendem Metall, Maße: 13x2,6cm"
"52.0749","Accessoires Tasche ""Boutique""","100% PU Lederoptik","Hauptfach mit Reißverschluss, Soft-Touch-Futter, Reißverschluss aus hochglänzendem Metall, TearAway Label, in 2 Größen erhältlich, Maße/Fassungsvermögen: S 23x11x11cm - 3l, M 28x14x14cm - 6l"
"52.0750","Accessoires Tasche ""Boutique""","127g, 100% PU Lederoptik","Kleiner Handtragegriff, Hauptfach mit Metallreißverschluss, Schaumstoffpolsterung, weiches Innenfutter, TearAway Label, Maße: 26x17cm"
"52.0751","Accessoires Tasche ""Boutique""","100% PU Lederoptik","Hauptfach mit Reißverschluss, Soft-Touch-Futter, TearAway Label, in 2 Größen erhältlich, Maße/Fassungsvermögen: M 18x11x4,5cm - 0,75l, L 25x16x10,3cm - 3l"
"52.0755","Reise Set ""Boutique""","108g, 100% PU Lederoptik","Höchglänzende goldene Metallverzierungen, weiches Innenfutter, TearAway Label, 2-teiliges Set, Etui Maße: 10,5x14,5cm, Gepackanhänger Maße: 6x11,5cm"
"52.0756","Dokumententasche ""Boutique""","100% PU Lederoptik","Innentasche mit Reißverschluss, diverse Innentaschen, 6 Kartenfächer, Hauptfach mit Reißverschluss, Soft-Touch-Futter, Vorder- und Rückseite veredelbar, passend für iPad mini/Tablets, TearAway Label"
"52.0758","Umhängetasche ""Boutique""","290g, 100% PU Lederoptik","Abnehmbarer längenverstellbarer Schultergurt, Tragegrifflänge: 116cm, alternativer Schultergurt separat erhältlich (Artikel 52.0765), Innentasche mit Reißverschluss, Hauptfach mit Reißverschluss, Soft-Touch-Futter, TearAway Label, Maße: 21x13x7cm"
"52.0759","Umhängetasche ""Boutique""","100% PU Lederoptik","Alternativer Schultergurt separat erhältlich (Artikel 52.0765), abnehmbarer, verstellbarer Schultergurt, Innentasche mit Reißverschluss, verschiedene Innenfächer und Unterteilungen, Hauptfach mit Reißverschluss, Soft-Touch-Futter, Reißverschluss aus hochglänzendem Metall, TearAway Label, Fassungsvermögen: 1,5l, Maße: 23x3,5x16cm"
"52.0760","Reisetasche ""Boutique""","1.450g, 100% PU Lederoptik, Futter: 100% Polyester","2 kurze Tragegriffe, abnehmbarer längenverstellbarer Schultergurt, Tragegrifflänge: 57cm, alternativer Schultergurt separat erhältlich (Artikel 52.0765), kleine Standfüße, extra langer Reißverschluss am Hauptfach, Innentasche mit Reißverschluss, Soft-Touch-Futter, Veredelungszugang im Futter, kann über die Schulter oder in der Hand getragen werden, TearAway Label, Fassungsvermögen: 25l, Maße: 53x26x24cm"
"52.0763","Kosmetikkoffer ""Boutique""","100% PU Lederoptik","Tragegriff aus identischem Material, Innentasche mit Reißverschluss, Hauptfach mit Reißverschluss, Soft-Touch-Futter, Reißverschluss aus hochglänzendem Metall, TearAway Label, Fassungsvermögen: 4l, Maße: 23x15x14cm"
"52.0764","Accessoires Tasche mit Sichtfenster ""Boutique""","100% PU Lederoptik","Transparentes Sichtfenster, Tragegriff aus identischem Material, Hauptfach mit Reißverschluss, Soft-Touch-Futter, Reißverschluss aus hochglänzendem Metall, TearAway Label, Fassungsvermögen: 3l, Maße: 26x16x9cm"
"52.0765","Taschengurt ""Boutique""","125g, 100% Polyester","Kompatibel mit 52.0758 und 52.0760, abnehmbarer längenverstellbarer Schultergurt, höchglänzende goldene Metallverzierungen, Maße: 127x5cm"
"52.0768","Rucksack ""Boutique""","785g, 100% PU Lederoptik","Gurt zur Befestigung am Reisegepäck, Tragegriff, verstellbare Schultergurte, hochglänzende goldene Zipps, Innentasche mit Reißverschluss, Hauptfach mit Reißverschluss, gepolstertes Laptopfach passend für Laptops bis max. 14"", Flaschenhalter innen, TearAway Label, Fassungsvermögen: 10l, Maße: 30x41x11cm"
"52.0769","Dokumententasche ""Boutique""","100% PU Lederoptik","Soft-Touch-Futter, passend für A4 Dokumente, Reißverschluss aus hochglänzendem Metall, TearAway Label, Maße: 35x26x1cm"
"52.0841","Sublimationspatch ""MOLLE""","7g, HD Polyester Microfaser","Kompatibel mit 52.0850 und 53.0638, Rückseite aus Rip-Strip™, HD-Sublimationsoberfläche, Maße: 10x6,5cm"
"52.0850","Rucksack ""MOLLE""","1.170g, 600D Polyester, Futter: 210D Polyester","Tragegriff, verstellbarer Brustgurt, Gurtbandschlaufen, 3 Fronttaschen mit Reißverschluss, Netztasche innen, zwei externe Flaschentaschen, Rip-Strip™ Fronttasche, großes Hauptfach, gepolstertes Laptopfach passend für Laptops bis max. 17"", Rückwand gepolstert, kompatibel mit Rip-Strip™-Patches (52,0841, 53,0600), TearAway Label, Fassungsvermögen: 35l, Maße: 31x48x24cm"
"52.0855","Rucksack ""Roll-Top""","550g, 600D Polyester","Tragegriff, verstellbarer Schultergurt mit Polsterung, Fronttasche mit Reißverschluss, gepolstertes Laptopfach passend für Laptops bis max. 15,6"", Rücken und Boden gepolstert, TearAway Label, Fassungsvermögen: 20l, Maße: 32x44x13cm"
"52.118S","Mini Roll-Top Rucksack mit Doppelgriff","340g, 100% recyceltes 600D Polyester, rPET","2 Tragegriffe, Tragegriffe aus Gurtband, verstellbare Schultergurte, Fronttasche mit Reißverschluss, Flaschentasche, Rückwand gepolstert, TearAway Label, Fassungsvermögen: 9l, Maße: 23x32x11cm"
